inETIP,subcategory,company,website,country,code_sig,network_sig,documentation,potential maven page,potential maven repo,potential github
,Mobile & Web Analytics,Calq,calq.io,,,,,,,https://github.com/calq
,Mobile & Web Analytics,Canecto,canecto.com,,,,,,,https://github.com/canecto
,Retail Proximity & IoT Marketing,Capillary,capillarytech.com,,,,,,,https://github.com/capillarytech
,,Capptain,,,,,,,,https://github.com/Capptain
ETIP,Mobile Marketing,Carnival,carnival.io,,com.carnival.sdk|com.carnivalmobile,,,,,
,,Casee,casee.cn,China,,,,,,https://github.com/casee
,,Cashslide,cashslide.co.kr,Korea,,,,,,https://github.com/cashslide
ETIP,,Cauly,cauly.net,,com.fsn.cauly|com.trid.tridad,,,,,
ETIP,,Cedexis,cedexis.com,,com.cedexis.,,,,,
,Mobile Marketing,Chalk Digital,chalkdigital.com,,com.chalkdigital.cdads.,,https://github.com/chalkdigital/Chalkdigital-Mobile-Ads-SDK-Examples,https://bintray.com/chalkdigital,https://dl.bintray.com/chalkdigital/maven/,https://github.com/chalkdigital
ETIP,Mobile & Web Analytics,Chartbeat,chartbeat.com,,com.chartbeat.androidsdk,,,,,
ETIP,Mobile Marketing,Chartboost,chartboost.com,,com.chartboost.sdk,,,,,
ETIP,,Cheetah Ads,cmcm.com,,com.cmcm.,\cmcm.com,,,,
,,Chitika,chitika.com,USA,,,,,,https://github.com/chitika
,Mobile & Web Analytics,Church Analytics,churchanalytics.com,,,,,,,
,Mobile Marketing,Cidewalk,cidewalk.com,,,,,,,
ETIP,,Cifrasoft,cifrasoft.com,,com.cirasoft,.tele.fm,,,,
,Mobile & Web Analytics,Cision,cision.com,,,,,,,https://github.com/cision
,Mobile & Web Analytics,Clario,clario.io,,,,,,,https://github.com/clario
ETIP,Mobile Marketing,CleverTap,clevertap.com,,com.clevertap,,,,,
,Mobile Marketing,ClickaTell,clickatell.com,USA,,,,,,https://github.com/clickatell
,Mobile Marketing,Clickky,clickky.biz,Ukraine,biz.clickky.ads_sdk.,,,,,https://github.com/clickky
,,ClickRocket,clickrocket.net,Russia,,,,,,
,,ClicksMob,clicksmob.com,USA,,,,,,https://github.com/clicksmob
,Mobile & Web Analytics,Clicktale,clicktale.com,,,,,,,https://github.com/clicktale
,Mobile & Web Analytics,Clicky,clicky.com,,,,,,,https://github.com/clicky
,iPaaS Cloud/Data Integration & Tag Management,Cloud Elements,cloud-elements.com,,,,,,,https://github.com/cloud-elements
,DAM & MRM,Cloudinary,cloudinary.com,,com.cloudinary.,,,,,https://github.com/cloudinary
ETIP,,Cloudmobi,cloudmobi.net,,com.cloudtech,,,,,
,Mobile Marketing,CLX,clxcommunications.com,,,,,,,https://github.com/clxcommunications
ETIP,,cocos2dx,cocos2d-x.org/sdkbox,,org.cocos2dx,,,,,
ETIP,,Colocator,developers.colocator.net,,net.crowdconnected.androidcolocator,,,,,
ETIP,Customer Data Platform,CommandersAct,commandersact.com,,com.tagcommander,,,,,
,Mobile & Web Analytics,CommuniGator (formerly Wow Analytics),communigator.co.uk,,,,,,,https://github.com/communigator
ETIP,Audience/Marketing Data & Data Enhancement,Comscore,comscore.com,,com.comscore,,,,,
,,Comverse,comverse.com,USA,,,,,,https://github.com/comverse
ETIP,,Connecthings,connecthings.com,,com.connecthings.,,,,,
,Native/Content Advertising,Content.Ad,content.ad,,,,,,,https://github.com/content
,CMS & Web Experience Management,Contentful,contentful.com,,com.contentful.,,,,,https://github.com/contentful
,Marketing Analytics Performance & Attribution,ContentSquare,contentsquare.com,,com.contentsquare.android.sdk,,,,,https://github.com/contentsquare
ETIP,,Conversant,conversantmedia.com,,com.conversantmedia,conversantmedia\.com,,,,
ETIP,,Conviva,conviva.com,,com.conviva,,,,,
,Mobile & Web Analytics,CoolaData,cooladata.com,,,,,,,https://github.com/cooladata
,Mobile Marketing,Cordial,cordial.com,,,,,https://bintray.com/cordial,,https://github.com/cordial
,CMS & Web Experience Management,Coremedia,coremedia.com,,com.coremedia,,,,,https://github.com/coremedia
,,Coull,coull.com,UK,,,,,,https://github.com/coull
ETIP,Mobile & Web Analytics,Countly,count.ly,,ly.count.android,,,,,
,Mobile Marketing,Coupontools,coupontools.com,,,,,,,
,,CPX Moversa Mobile,moversa.com,USA,,,,,,
,Mobile & Web Analytics,Crazy Egg,crazyegg.com,,,,,,,https://github.com/crazyegg
,,Creafi Online Media,creafi.com,Spain,,,,,,
,Mobile Marketing,Crisp Mobile,crispmobile.com,,,,,,,https://github.com/crispmobile
ETIP,Mobile Marketing,Criteo,criteo.com,,com.criteo,,,,,
,,Crobo (Covus),crobo.com,Germany,,,,,,https://github.com/crobo
,,CrossInstall,x48.net,USA,,,,,,https://github.com/x48
,,CrossPromotion,crosspromotion.com,,com.crosspromotion,,,,,https://github.com/crosspromotion
,,CrowdMob,crowdmob.com,USA,,,,,,https://github.com/crowdmob
ETIP,,CrowdTangle,crowdtangle.com,,,,,,,
ETIP,Audience/Marketing Data & Data Enhancement,Cuebiq,cuebiq.com,,com.cuebiq.cuebiqsdk,,,,,
,Mobile & Web Analytics,CustomerEngagePro,customerengagepro.com,,,,,,,https://github.com/customerengagepro
,Optimization Personalization & Testing,Cxense,cxense.com,,com.cxense.cxensesdk,,,,,https://github.com/cxense
,,CyberAgent,cyberagent.co.jp,,jp.co.cyberagent,,,https://bintray.com/cyberagent,https://dl.bintray.com/cyberagent/maven/,https://github.com/cyberagent
,,CyberZ,cyber-z.co.jp,Japan,jp.co.cyberz,,,,,https://github.com/cyber-z
,Mobile Marketing,CytechMobile,cytechmobile.com,,,,,,,https://github.com/cytechmobile
,Mobile & Web Analytics,Daddy Analytics,daddyanalytics.com,,,,,,,
,,DataLogix,datalogix.com,USA,,,,,,https://github.com/datalogix
,Mobile & Web Analytics,Datawatch,datawatch.com,,,,,,,https://github.com/datawatch
,Marketing Analytics Performance & Attribution,Datorama,datorama.com,,com.datorama.,,,,,https://github.com/datorama
ETIP,,Dawin,click.dawin.tv,,,,,,,
,,Dean Media Group,deanmediagroup.com,USA,,,,,,
ETIP,,deltaDNA,deltadna.com,,com.deltadna,,,,,
ETIP,,Demdex,adobe.com/data-analytics-cloud/audience-manager.html,,com.adobe.mobile.analytics,,,,,
,Content Marketing,Desygner,desygner.com,,com.desygner.,,,,,https://github.com/desygner
,,Diandian Interactive Holding,,,,,,,,https://github.com/Diandian
,,DidMo,didmo.com,Sweden,,,,,,
,Native/Content Advertising,Digg,digg.com,,com.digg.,,,,,https://github.com/digg
